name,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude,LY_distance
HD 64486,Camelopardalis,08,04,47.19,+79,28,47.1,5.39,330
HD 104985,Camelopardalis,12,05,14.74,+76,54,21.4,5.78,333
37 Cam,Camelopardalis,06,09,58.99,+58,56,08.3,5.35,349
BN Cam,Camelopardalis,05,12,22.45,+73,56,48.3,5.44,374
HD 26670,Camelopardalis,04,16,53.55,+61,51,00.1,5.69,409
HD 27245,Camelopardalis,04,21,47.58,+60,44,09.2,5.40,427
HD 58425,Camelopardalis,07,30,52.70,+68,27,56.6,5.63,453
HD 50885,Camelopardalis,07,01,21.40,+70,48,30.0,5.69,457
HD 31134,Camelopardalis,04,56,07.08,+52,52,11.0,5.75,478
40 Cam,Camelopardalis,06,15,40.51,+59,59,56.5,5.37,498
HD 30442,Camelopardalis,04,52,05.17,+63,30,20.3,5.47,499
HD 45866,Camelopardalis,06,40,28.84,+77,59,44.9,5.75,579
36 Cam,Camelopardalis,06,12,51.05,+65,43,06.6,5.36,642
5 Cam,Camelopardalis,04,55,03.14,+55,15,32.9,5.52,661
[[HD 64307,Camelopardalis,08,00,11.76,+73,55,04.8,5.37,700
17 Cam,Camelopardalis,05,30,10.21,+63,04,02.0,5.43,931
HD 34255,Camelopardalis,05,20,22.61,+62,39,13.4,5.64,1976
HD 22764,Camelopardalis,03,42,42.73,+59,58,09.8,5.74,2203
HD 31662,Camelopardalis,05,01,36.02,+61,04,42.4,6.03,120
HD 29678,Camelopardalis,04,48,50.26,+75,56,29.6,5.96,149
26 Cam,Camelopardalis,05,46,30.37,+56,06,56.6,5.93,193
HD 99945,Camelopardalis,11,31,51.08,+81,07,37.8,6.12,195
24 Cam,Camelopardalis,05,43,01.66,+56,34,53.2,6.05,200
HD 21819,Camelopardalis,03,33,39.10,+54,58,29.5,5.98,222
Sigma 1694 B,Camelopardalis,12,49,06.79,+83,25,04.1,5.92,222
HD 23523,Camelopardalis,03,49,36.62,+63,17,49.6,5.82,231
HD 27322,Camelopardalis,04,21,51.82,+56,30,22.7,5.91,310
53 Cam,Camelopardalis,08,01,42.49,+60,19,27.9,6.02,321
51 Cam,Camelopardalis,07,46,40.04,+65,27,20.3,5.93,332
HD 21427,Camelopardalis,03,30,10.93,+59,21,57.8,6.14,337
HD 35541,Camelopardalis,05,18,13.25,+73,16,05.3,5.81,359
HD 120565,Camelopardalis,13,42,22.94,+82,45,09.0,5.92,364
HD 26076,Camelopardalis,04,13,44.81,+72,07,34.4,6.05,365
HD 28204,Camelopardalis,04,33,30.62,+72,31,43.8,5.94,373
HD 26553,Camelopardalis,03,47,32.12,+55,55,19.4,6.09,431
HD 28780,Camelopardalis,04,36,24.23,+64,15,41.8,5.91,443
HD 65448,Camelopardalis,08,02,30.82,+63,05,25.2,6.09,522
HD 31590,Camelopardalis,05,04,39.65,+74,04,01.2,6.10,537
HD 44472,Camelopardalis,06,28,14.49,+70,32,07.0,6.03,553
HD 32356,Camelopardalis,05,06,29.66,+61,10,11.8,6.00,563
HD 25274,Camelopardalis,04,06,03.17,+68,40,47.9,5.88,623
12 Cam,Camelopardalis,05,06,12.14,+59,01,17.1,6.08,625
HD 31312,Camelopardalis,05,02,19.79,+74,16,09.4,6.05,628
HD 46509,Camelopardalis,06,40,32.24,+71,44,55.5,5.88,663
8 Cam,Camelopardalis,04,59,46.34,+53,09,19.7,6.09,767
15 Cam,Camelopardalis,05,19,27.85,+58,07,02.7,6.13,879
HD 105943,Camelopardalis,12,11,00.09,+81,42,35.4,6.00,1101
HD 31675,Camelopardalis,05,02,50.34,+66,49,25.6,6.20,91
HD 45947,Camelopardalis,06,37,55.24,+73,41,44.3,6.26,116
HD 25948,Camelopardalis,04,09,22.16,+54,49,44.7,6.25,155
HD 24164,Camelopardalis,03,56,30.33,+71,49,17.9,6.31,196
HD 104904,Camelopardalis,12,04,28.53,+85,35,12.9,6.27,249
HD 36496,Camelopardalis,05,37,16.05,+66,41,48.2,6.26,259
HD 76990,Camelopardalis,09,15,21.24,+84,10,51.6,6.30,294
HD 33618,Camelopardalis,05,15,11.38,+59,24,20.6,6.15,307
23 Cam,Camelopardalis,05,44,08.46,+61,28,35.5,6.17,318
HD 25602,Camelopardalis,04,06,36.58,+54,00,32.0,6.31,319
HD 72582,Camelopardalis,08,39,42.64,+73,37,47.7,6.16,355
19 Cam,Camelopardalis,05,37,15.07,+64,09,17.5,6.15,372
HD 27402,Camelopardalis,04,22,57.91,+59,36,58.6,6.18,378
HD 38284,Camelopardalis,05,49,04.68,+62,48,29.5,6.18,412
HD 38645,Camelopardalis,05,52,55.49,+68,28,17.9,6.22,415
HD 39429,Camelopardalis,05,57,34.95,+66,05,46.1,6.24,427
HD 25425,Camelopardalis,04,06,38.81,+65,31,15.1,6.14,457
HD 33266,Camelopardalis,05,13,02.83,+61,51,00.1,6.17,477
30 Cam,Camelopardalis,05,52,17.26,+58,57,50.9,6.14,545
KZ Cam,Camelopardalis,03,38,19.70,+56,55,58.1,6.29,557
HD 36384,Camelopardalis,05,39,43.72,+75,02,37.7,6.19,579
HD 67934,Camelopardalis,08,24,33.11,+82,25,51.0,6.28,679
HD 115337,Camelopardalis,13,12,25.46,+80,28,16.6,6.25,686
HD 40055,Camelopardalis,06,05,09.32,+75,35,09.4,6.28,720
HD 27855,Camelopardalis,04,27,00.86,+57,35,07.2,6.28,755
FR Cam,Camelopardalis,12,00,18.84,+80,51,11.8,6.21,819
HD 23662,Camelopardalis,03,51,41.75,+68,30,27.1,6.31,821
HD 55075,Camelopardalis,07,25,21.97,+81,15,27.1,6.30,832
HD 25877,Camelopardalis,04,09,27.58,+59,54,29.1,6.29,1072
HD 31563,Camelopardalis,05,04,12.77,+73,45,50.2,6.21,1331
HD 29329,Camelopardalis,04,46,00.39,+76,36,40.9,6.46,105
HD 32715,Camelopardalis,05,09,44.53,+64,55,11.8,6.37,129
18 Cam,Camelopardalis,05,32,33.68,+57,13,17.8,6.44,143
HD 30144,Camelopardalis,04,48,06.94,+55,36,10.2,6.32,166
HD 21903,Camelopardalis,03,35,01.04,+60,02,29.0,6.43,183
47 Cam,Camelopardalis,07,22,17.19,+59,54,07.1,6.36,229
HD 21794,Camelopardalis,03,33,41.23,+57,52,07.1,6.37,234
HD 77246,Camelopardalis,09,11,12.73,+80,49,44.2,6.37,252
HD 71973,Camelopardalis,08,36,48.78,+74,43,25.4,6.31,273
HD 79517,Camelopardalis,09,19,55.78,+74,01,00.3,6.42,370
HD 32518,Camelopardalis,05,09,36.62,+69,38,22.4,6.44,383
HD 34200,Camelopardalis,05,20,40.69,+66,44,48.5,6.39,384
HD 26101,Camelopardalis,04,12,51.88,+68,30,04.1,6.33,387
HD 54070,Camelopardalis,07,13,57.99,+71,48,59.5,6.36,396
HD 40956,Camelopardalis,06,06,39.20,+63,27,13.7,6.42,414
HD 32781,Camelopardalis,05,14,35.54,+76,28,22.0,6.36,421
HD 111112,Camelopardalis,12,44,25.90,+80,37,16.1,6.33,462
HD 69054,Camelopardalis,08,22,09.50,+74,49,12.9,6.40,466
HD 40827,Camelopardalis,06,05,08.23,+59,23,36.0,6.32,471
HD 30752,Camelopardalis,04,53,09.80,+52,50,28.3,6.40,523
HD 23594,Camelopardalis,03,49,19.73,+57,07,06.0,6.46,531
HD 65299,Camelopardalis,08,16,53.96,+84,03,27.7,6.45,568
HD 20104,Camelopardalis,03,17,31.54,+65,39,30.1,6.41,596
HD 30085,Camelopardalis,04,50,36.39,+70,56,29.7,6.36,647
HD 21769,Camelopardalis,03,33,32.19,+58,45,55.3,6.45,763
HD 86321,Camelopardalis,10,08,34.40,+83,55,06.1,6.31,883
HD 57742,Camelopardalis,07,27,25.84,+66,19,53.66,6.47,893
HD 118686,Camelopardalis,13,34,42.81,+76,32,48.1,6.46,1025
HD 34450,Camelopardalis,05,24,59.43,+73,42,25.9,6.48,1254
39 Cam,Camelopardalis,06,11,13.63,+60,27,12.7,6.48,1268
Gliese 445,Camelopardalis,11,47,41.39,+78,41,28.2,10.8,17.6
HD 29021,Camelopardalis,04,37,52.2,+60,40,34,7.76,100
22 Cam,Camelopardalis,05,39,05.39,+56,21,37.3,7.03,196
HD 35759,Camelopardalis,05,31,33.0,+64,16,58,7.74,236
49 Cam,Camelopardalis,07,46,27.46,+62,49,50.4,6.50,265
14 Cam,Camelopardalis,05,13,31.29,+62,41,28.1,6.49,268
HD 25225,Camelopardalis,04,07,10.77,+74,00,01.29,6.49,409
29 Cam,Camelopardalis,05,50,33.89,+56,55,08.2,6.53,441
HD 38058,Camelopardalis,05,47,32.26,+63,35,55.85,6.49,482
HD 40568,Camelopardalis,06,03,04.31,+57,01,06.3,6.50,565
28 Cam,Camelopardalis,05,46,54.60,+56,55,26.4,6.79,622
HD 44385,Camelopardalis,06,33,04.0,+78,58,46,6.60,698
HD 52030,Camelopardalis,07,05,51.67,+70,43,54.93,6.49,847
HD 21203,Camelopardalis,03,28,23.56,+60,15,20.6,6.49,858
HD 24064,Camelopardalis,03,56,36.0,+74,04,48,6.75,862
6 Cam,Camelopardalis,04,56,49.48,+55,49,26.8,6.63,874
20 Cam,Camelopardalis,05,37,27.04758,+56,29,16.1335,7.45,1163
Chi Cnc,Cancer,08,20,03.87,+27,13,07.0,5.14,59
Mu2 Cnc,Cancer,08,07,45.84,+21,34,55.1,5.30,76
Zeta Cnc,Cancer,08,12,12.71,+17,38,53.3,4.67,83
Delta Cnc,Cancer,08,44,41.11,+18,09,17.5,3.94,136
Omicron1 Cnc,Cancer,08,57,14.91,+15,19,21.8,5.22,160
Alpha Cnc,Cancer,08,58,29.20,+11,51,28.0,4.26,173
Gamma Cnc,Cancer,08,43,17.21,+21,28,06.9,4.66,181
Sigma2 Cnc,Cancer,08,56,56.63,+32,54,38.1,5.44,195
Sigma1 Cnc,Cancer,08,52,34.62,+32,28,26.8,5.67,204
8 Cnc,Cancer,08,05,04.51,+13,07,06.1,5.14,210
Tau Cnc,Cancer,09,08,00.07,+29,39,15.2,5.42,260
Beta Cnc,Cancer,08,16,30.95,+09,11,08.4,3.53,290
Iota Cnc A,Cancer,08,46,41.83,+28,45,36.0,4.03,298
Eta Cnc,Cancer,08,32,42.52,+20,26,28.6,5.33,312
Sigma3 Cnc,Cancer,08,59,32.68,+32,25,07.1,5.23,320
HD 71115,Cancer,08,25,54.79,+07,33,52.3,5.13,359
57 Cnc,Cancer,08,54,14.70,+30,34,45.0,5.40,365
Xi Cnc,Cancer,09,09,21.53,+22,02,43.6,5.16,380
Phi1 Cnc,Cancer,08,26,27.73,+27,53,37.9,5.58,398
49 Cnc,Cancer,08,44,45.04,+10,04,54.2,5.63,408
Nu Cnc,Cancer,09,02,44.27,+24,27,10.6,5.45,457
Kappa Cnc,Cancer,09,07,44.82,+10,40,05.6,5.23,484
Theta Cnc,Cancer,08,31,35.77,+18,05,40.4,5.33,494
Rho2 Cnc,Cancer,08,55,39.69,+27,55,39.2,5.23,574
60 Cnc,Cancer,08,55,55.56,+11,37,33.8,5.44,582
82 Cnc,Cancer,09,15,13.88,+14,56,29.5,5.36,701
3 Cnc,Cancer,08,00,47.31,+17,18,31.4,5.60,721
15 Cnc,Cancer,08,13,08.87,+29,39,23.7,5.62,872
45 Cnc,Cancer,08,43,12.34,+12,40,51.1,5.62,1028
27 Cnc,Cancer,08,26,43.95,+12,39,17.5,5.56,1052
55 Cnc,Cancer,08,52,36.13,+28,19,53.0,5.96,41
HD 72945,Cancer,08,35,51.05,+06,37,13.9,5.91,87
75 Cnc,Cancer,09,08,47.42,+26,37,48.0,5.95,102
Psi2 Cnc,Cancer,08,10,27.23,+25,30,29.4,5.73,137
25 Cnc,Cancer,08,25,49.99,+17,02,47.9,6.11,147
Omicron2 Cnc,Cancer,08,57,35.16,+15,34,52.4,5.68,161
HD 72617,Cancer,08,34,13.35,+08,27,08.5,6.04,189
67 Cnc,Cancer,09,01,48.88,+27,54,10.0,6.07,191
50 Cnc,Cancer,08,46,56.06,+12,06,36.3,5.89,199
Upsilon1 Cnc,Cancer,08,31,30.57,+24,04,52.4,5.71,237
28 Cnc,Cancer,08,28,36.80,+24,08,42.2,6.05,271
HD 65522,Cancer,07,59,35.07,+13,14,31.9,6.05,301
29 Cnc,Cancer,08,28,37.35,+14,12,39.1,5.94,308
1 LMi,Cancer,08,38,19.00,+32,48,07.3,5.96,367
20 Cnc,Cancer,08,23,21.87,+18,19,56.2,5.94,395
RS Cnc,Cancer,09,10,38.81,+30,57,47.6,6.04,397
Lambda Cnc,Cancer,08,20,32.15,+24,01,20.5,5.92,419
79 Cnc,Cancer,09,10,20.86,+21,59,47.1,6.04,420
36 Cnc,Cancer,08,37,05.79,+09,39,20.1,5.92,461
1 Cnc,Cancer,07,56,59.47,+15,47,25.4,5.80,462
5 Cnc,Cancer,08,01,30.29,+16,27,19.2,5.99,472
66 Cnc,Cancer,09,01,24.13,+32,15,08.3,5.89,509
HD 69994,Cancer,08,20,20.93,+20,44,52.2,5.80,510
HD 68461,Cancer,08,12,59.74,+16,30,51.7,6.03,528
Mu1 Cnc,Cancer,08,06,18.40,+22,38,07.8,5.97,626
Omega1 Cnc,Cancer,08,00,55.87,+25,23,34.2,5.87,660
HD 77445,Cancer,09,02,44.82,+07,17,53.7,5.85,664
HD 68099,Cancer,08,11,16.60,+09,49,16.6,6.08,872
21 Cnc,Cancer,08,23,55.21,+10,37,55.6,6.11,1113
HD 65257,Cancer,07,58,31.48,+16,31,07.3,6.05,1399
54 Cnc,Cancer,08,51,01.53,+15,21,01.7,6.36,130
61 Cnc,Cancer,08,57,58.63,+30,14,01.5,6.25,164
HD 78175,Cancer,09,07,27.01,+22,58,51.1,6.39,192
HD 72943,Cancer,08,36,07.71,+15,18,49.3,6.33,267
HD 65757,Cancer,08,01,00.79,+23,34,59.4,6.34,276
Phi2 Cnc A,Cancer,08,26,47.08,+26,56,07.7,6.14,276
Phi2 Cnc B,Cancer,08,26,47.00,+26,56,07.0,6.19,276
12 Cnc,Cancer,08,08,42.44,+13,38,27.4,6.25,278
HD 66552,Cancer,08,04,45.32,+18,50,31.4,6.21,299
HD 72505,Cancer,08,33,45.06,+13,15,26.7,6.26,306
HD 80546,Cancer,09,21,27.17,+32,54,07.9,6.16,317
HD 65735,Cancer,08,00,48.10,+19,48,58.4,6.30,345
4 LMi,Cancer,08,40,18.31,+31,56,31.1,6.21,350
HD 76508,Cancer,08,57,08.30,+17,08,37.8,6.17,384
Upsilon2 Cnc,Cancer,08,33,00.14,+24,05,05.7,6.35,421
46 Cnc,Cancer,08,45,21.42,+30,41,51.9,6.12,477
HD 69629,Cancer,08,18,14.43,+15,40,40.6,6.42,485
HD 80064,Cancer,09,17,51.36,+11,30,04.1,6.40,542
Epsilon Cnc,Cancer,08,40,27.03,+19,32,41.4,6.29,548
HD 67959,Cancer,08,10,58.90,+14,37,46.3,6.22,581
39 Cnc,Cancer,08,40,06.44,+20,00,28.1,6.39,587
4 Cnc,Cancer,08,01,43.77,+25,05,22.0,6.32,598
FZ Cnc,Cancer,08,59,10.76,+18,08,06.1,6.30,697
HD 75469,Cancer,08,50,45.13,+18,49,56.1,6.41,762
HD 68776,Cancer,08,14,21.01,+13,02,54.0,6.39,776
53 Cnc,Cancer,08,52,28.60,+28,15,33.0,6.25,886
HD 66684,Cancer,08,05,37.05,+27,31,47.1,6.21,934
HD 76629,Cancer,08,57,42.03,+09,23,16.0,6.19,956
HD 69478,Cancer,08,17,31.66,+08,51,58.8,6.28,1062
X Cnc,Cancer,08,55,22.88,+17,13,52.5,6.40,3622
81 Cnc,Cancer,09,12,17.87,+14,59,43.6,6.49,67
HD 78661,Cancer,09,09,46.45,+11,33,52.3,6.48,123
83 Cnc,Cancer,09,18,58.91,+17,42,20.4,6.61,128
Iota Cnc B,Cancer,08,46,40.00,+28,45,54.6,6.58,188
24 Cnc A,Cancer,08,26,39.82,+24,32,03.7,6.51,248
HD 77660,Cancer,09,04,55.12,+32,22,37.2,6.46,259
HD 68703,Cancer,08,14,11.14,+17,40,33.3,6.47,329
HD 78234,Cancer,09,08,04.21,+32,32,25.6,6.47,349
37 Cnc,Cancer,08,38,05.19,+09,34,28.7,6.54,373
80 Cnc,Cancer,09,11,56.93,+18,02,39.0,6.87,470
HD 79248,Cancer,09,13,37.27,+21,16,59.6,6.48,496
42 Cnc,Cancer,08,40,43.23,+19,43,09.6,6.83,506
VZ Cnc,Cancer,08,40,52.13,+09,49,27.1,7.18,509
3 LMi,Cancer,08,39,56.35,+32,43,38.2,6.71,528
38 Cnc,Cancer,08,39,42.68,+19,46,42.5,6.66,531
34 Cnc,Cancer,08,32,39.87,+10,03,57.7,6.48,541
HD 73599,Cancer,08,39,24.57,+08,01,03.6,6.46,551
EP Cnc,Cancer,08,40,56.30,+19,34,49.2,6.76,556
40 Cnc,Cancer,08,40,11.47,+19,58,16.2,6.61,570
35 Cnc,Cancer,08,35,19.47,+19,35,24.3,6.55,585
70 Cnc,Cancer,09,04,09.87,+27,53,53.9,6.67,605
7 Cnc,Cancer,08,03,50.48,+22,04,14.9,6.84,668
78 Cnc,Cancer,09,09,02.31,+17,28,10.7,7.18,706
HD 73710,Cancer,08,40,22.11,+19,40,11.9,6.42,756
11 Cnc,Cancer,08,08,49.60,+27,28,49.5,6.88,944
HD 72115,Cancer,08,31,41.31,+18,59,16.0,6.50,1025
Psi1 Cnc,Cancer,08,10,13.12,+25,50,40.4,6.44,1032
2 LMi,Cancer,08,39,31.87,+32,30,56.2,6.69,1220
HD 76908,Cancer,08,59,26.89,+13,04,27.9,6.49,1294
HD 67542,Cancer,08,09,35.19,+29,05,35.1,6.47,3928
24 Cnc B,Cancer,08,26,40.10,+24,32,07.0,7.81,0
HD 74721,Cancer,08,45,59.26,+13,15,48.6,8.72,1226.40
T Cnc,Cancer,08,56,40.15,+19,50,57.0,7.60,3139.27
TW Cnc,Cancer,08,29,37.32,+12,27,20.3,8.49,1382.04
U Cnc,Cancer,08,35,46.29,+18,53,44.5,8.50,7665.49
UU Cnc,Cancer,08,02,30.90,+15,10,41.9,8.85,2644.76
V Cnc,Cancer,08,21,42.84,+17,17,07.2,7.50,4322.97
ADS 7284,Cancer,09,17,53.46,+28,33,37.9,7.21,56.28
HD 77065,Cancer,09,00,47.0,+21,27,13,8.8,103
HD 79498,Cancer,09,15,09,+23,22,32,8.03,150
HD 73534,Cancer,08,39,15.80,+12,57,37.3,8.24,316
HIP 41378,Cancer,08,26,28.0,+10,04,49,8.9,378
HD 72490,Cancer,08,33,36.6,+13,33,03,7.8,405
BY Cnc,Cancer,08,42,10.81,+18,56,03.7,7.91,451
BN Cnc,Cancer,08,40,39.24,+19,13,41.8,7.80,577
BQ Cnc,Cancer,08,40,26.75,+20,10,55.2,8.19,577
BS Cnc,Cancer,08,39,09.10,+19,35,32.6,8.59,577
BU Cnc,Cancer,08,39,44.67,+19,16,30.8,7.68,577
BV Cnc,Cancer,08,40,32.97,+19,11,39.6,8.65,577
BW Cnc,Cancer,08,40,52.48,+20,15,59.5,8.48,577
HD 74028,Cancer,08,42,06.50,+19,24,40.5,7.96,577
CY Cnc,Cancer,08,38,37.86,+19,59,23.1,8.14,582
52 Cnc,Cancer,08,51,10.83,+15,59,57.8,7.38,607
BR Cnc,Cancer,08,37,40.71,+19,31,06.3,8.26,608
68 Cnc,Cancer,09,01,43.66,+17,04,51.8,7.38,620
71 Cnc,Cancer,09,05,45.52,+17,23,24.5,8.10,672
44 Cnc,Cancer,08,43,08.36,+18,09,02.0,8.03,726
S Cnc,Cancer,08,43,56.14,+19,02,03.0,8.35,950
RZ Cnc,Cancer,08,39,08.54,+31,47,44.4,8.67,1420
R Cnc,Cancer,08,16,33.90,+11,43,35.0,8.64,2060
AK Cnc,Cancer,08,55,21.18,+11,18,15.3,,1818.66
CC Cnc,Cancer,08,36,19.15,+21,21,05.3,,1610.33
PSR B0823+26,Cancer,08,26,51.44,+26,37,22.8,,0
SY Cnc,Cancer,09,01,03.32,+17,53,56.2,10.60,1325.31
TT Cnc,Cancer,08,32,55.18,+13,11,28.5,11.10,4109.47
TU Cnc,Cancer,08,52,16.65,+09,05,18.8,10.53,2245.31
G 9-38,Cancer,08,58,15.19,+19,45,47.1,,17.2
CU Cnc,Cancer,08,31,37.57,+19,23,39.4,11.80,36.07
RX J0806.3+1527,Cancer,08,06,22.95,+15,27,31.1,,160
WY Cnc,Cancer,09,01,55.45,+26,41,22.7,9.60,264.6
HD 80653,Cancer,09,21,21.0,+14,22,05,9.50,358
TX Cnc,Cancer,08,40,01.70,+18,59,59.5,9.97,626
RU Cnc,Cancer,08,37,30.13,+23,33,41.6,10.20,911
RX Cnc,Cancer,08,14,43.54,+24,44,05.3,9.20,931
WASP-65,Cancer,08,53,18.0,+08,31,23,11.9,1011
HAT-P-31,Cancer,08,06,09,+26,25,36,11.66,1155
ES Cnc,Cancer,08,51,20.79,+11,53,26.2,11.16,2720
EX Cnc,Cancer,08,51,34.32,+11,51,10.5,10.95,2720
Beta CVn,Canes Venatici,12,33,45.09,+41,21,24.4,4.24,27
Cor Caroli,Canes Venatici,12,56,01.84,+38,19,05.7,2.89,114
Alpha1 CVn,Canes Venatici,12,56,00.60,+38,18,52.9,5.61,120.2
HR 5110,Canes Venatici,13,34,47.75,+37,10,56.8,4.91,145
HD 120047,Canes Venatici,13,46,13.63,+41,05,19.9,5.88,167
24 CVn,Canes Venatici,13,34,27.37,+49,00,57.3,4.68,190
25 CVn,Canes Venatici,13,37,27.70,+36,17,41.4,4.82,192
17 CVn,Canes Venatici,13,10,03.27,+38,29,55.9,5.91,202
HD 121164,Canes Venatici,13,53,10.36,+28,38,53.0,5.91,211
6 CVn,Canes Venatici,12,25,51.00,+39,01,07.3,5.01,227
19 CVn,Canes Venatici,13,15,32.05,+40,51,18.6,5.77,245
HD 109317,Canes Venatici,12,33,38.90,+33,14,51.6,5.42,266
21 CVn,Canes Venatici,13,18,14.54,+49,40,55.3,5.13,275
14 CVn,Canes Venatici,13,05,44.46,+35,47,55.9,5.20,282
20 CVn,Canes Venatici,13,17,32.64,+40,34,21.2,4.72,286
HD 120164,Canes Venatici,13,46,59.87,+38,32,33.9,5.51,304
HD 120420,Canes Venatici,13,48,38.74,+31,11,24.4,5.61,311
HD 116957,Canes Venatici,13,26,16.58,+46,01,41.2,5.88,357
HD 111604,Canes Venatici,12,50,10.81,+37,31,00.8,5.87,387
5 CVn,Canes Venatici,12,24,01.48,+51,33,44.0,4.77,393
HD 113847,Canes Venatici,13,05,52.28,+45,16,06.6,5.64,483
HD 115723,Canes Venatici,13,18,27.71,+34,05,53.9,5.81,504
3 CVn,Canes Venatici,12,19,48.72,+48,59,02.9,5.28,517
HD 115004,Canes Venatici,13,13,42.98,+40,09,10.3,4.94,522
AW CVn,Canes Venatici,13,51,47.49,+34,26,39.5,4.76,604
23 CVn,Canes Venatici,13,20,19.00,+40,09,02.0,5.60,655
HD 120819,Canes Venatici,13,51,09.21,+34,39,52.3,5.89,676
TU CVn,Canes Venatici,12,54,56.54,+47,11,48.3,5.75,704
La Superba,Canes Venatici,12,45,07.83,+45,26,24.8,5.42,710
2 CVn,Canes Venatici,12,16,07.54,+40,39,36.9,5.69,834
10 CVn,Canes Venatici,12,44,59.68,+39,16,42.9,5.95,57
7 CVn,Canes Venatici,12,30,03.10,+51,32,08.1,6.21,147
HD 120600,Canes Venatici,13,49,44.98,+36,37,58.0,6.43,212
9 CVn,Canes Venatici,12,38,46.30,+40,52,28.9,6.35,213
HD 115810,Canes Venatici,13,19,04.27,+35,07,40.6,6.01,213
HD 118156,Canes Venatici,13,34,21.85,+38,47,21.2,6.37,223
HD 121682,Canes Venatici,13,56,10.54,+32,01,56.9,6.31,236
HD 112171,Canes Venatici,12,54,13.15,+33,32,03.9,6.25,243
HD 117361,Canes Venatici,13,28,45.80,+50,43,07.5,6.42,253
HD 117710,Canes Venatici,13,31,15.84,+42,06,21.9,6.07,263
HD 110834,Canes Venatici,12,44,27.12,+44,06,10.8,6.34,298
HD 114357,Canes Venatici,13,09,38.72,+37,25,23.3,6.01,299
HD 107610,Canes Venatici,12,21,56.30,+47,10,56.1,6.33,307
4 CVn,Canes Venatici,12,23,47.08,+42,32,33.8,6.03,334
HD 112570,Canes Venatici,12,57,07.80,+46,10,36.9,6.12,344
HD 109345,Canes Venatici,12,33,47.41,+33,23,04.9,6.24,374
HD 119081,Canes Venatici,13,40,39.12,+28,03,54.5,6.22,382
HD 120048,Canes Venatici,13,46,19.10,+38,30,13.2,5.92,403
HD 117261,Canes Venatici,13,28,26.23,+40,43,47.2,6.49,432
HD 116303,Canes Venatici,13,22,03.97,+43,54,12.0,6.34,458
11 CVn,Canes Venatici,12,48,41.86,+48,28,00.5,6.25,463
HD 119458,Canes Venatici,13,42,43.42,+34,59,20.4,5.98,486
HD 111572,Canes Venatici,12,49,38.05,+48,44,24.2,6.50,497
HD 110066,Canes Venatici,12,39,16.85,+35,57,07.1,6.39,505
HD 119035,Canes Venatici,13,40,15.63,+31,00,42.5,6.21,540
HD 122675,Canes Venatici,14,02,12.17,+45,45,13.1,6.28,544
HD 119445,Canes Venatici,13,42,28.87,+41,40,27.3,6.30,942
15 CVn,Canes Venatici,13,09,42.04,+38,32,01.9,6.25,1144
CL CVn,Canes Venatici,13,23,53.92,+37,02,02.2,6.10,1207
HD 121197,Canes Venatici,13,53,08.44,+40,20,16.8,6.48,1370
ST CVn,Canes Venatici,13,57,34.06,+29,51,28.7,11.21,4469.44
TT CVn,Canes Venatici,12,59,22.64,+37,49,03.7,8.91,6825.15
TX CVn,Canes Venatici,12,44,22.07,+36,45,50.7,9.34,0
UX CVn,Canes Venatici,12,14,48.54,+36,38,49.3,,11393.92
Gliese 521,Canes Venatici,13,39,24.10,+46,11,11.4,10.26,42.41
HIP 65407,Canes Venatici,13,24,21.0,+48,53,06,9.42,55
Gliese 490,Canes Venatici,12,57,40.26,+35,13,30.0,10.52,62.78
HD 108100,Canes Venatici,12,24,13.93,+42,51,17.0,7.15,267.4
RS CVn,Canes Venatici,13,10,36.91,+35,56,05.6,8.23,352
BM CVn,Canes Venatici,13,21,32.26,+38,52,49.5,7.21,368
HD 115781,Canes Venatici,13,18,51.94,+33,26,19.3,8.13,691
BI CVn,Canes Venatici,13,03,16.41,+36,37,00.6,10.31,782
HD 109995,Canes Venatici,12,38,47.60,+39,18,31.6,7.64,891
HD 115444,Canes Venatici,13,16,42.46,+36,22,52.7,8.97,918
HD 114975,Canes Venatici,13,13,35.94,+36,53,15.3,6.50,1347
VZ CVn,Canes Venatici,13,32,03.39,+28,35,04.9,9.35,1460
V CVn,Canes Venatici,13,19,27.77,+45,31,37.7,6.74,2260
R CVn,Canes Venatici,13,48,57.20,+39,32,34.0,7.40,3130
W CVn,Canes Venatici,14,06,27.98,+37,49,41.5,10.49,4900
"Sirius A, B",Canis Major,06,45,09.25,+16,42,47.3,−1.46,8.6
Nu2 CMa,Canis Major,06,36,41.00,+19,15,20.6,3.95,65
Pi CMa,Canis Major,06,55,37.40,+20,08,11.7,4.66,95
Theta CMa,Canis Major,06,54,11.48,+12,02,18.9,4.08,252
Zeta CMa,Canis Major,06,20,18.79,+30,03,48.2,3.02,336
HD 43445,Canis Major,06,15,44.88,+13,43,06.2,5.00,375
Gamma CMa,Canis Major,07,03,45.49,+15,37,59.7,4.12,402
Lambda CMa,Canis Major,06,28,10.22,+32,34,48.5,4.47,406
Xi2 CMa,Canis Major,06,35,03.38,+22,57,53.4,4.54,412
Epsilon CMa,Canis Major,06,58,37.55,+28,58,19.5,1.50,431
HD 56618,Canis Major,07,16,35.00,+27,52,52.6,4.66,453
Nu3 CMa,Canis Major,06,37,53.43,+18,14,14.8,4.42,464
